Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
543.5594285,0.0,507551744,25668431872
543.5807022,0.0,507551744,25668411392
543.5963012,0.0,507551744,25668411392
543.6123026,0.0,507551744,25668472832
543.6283246,0.0,507551744,25668444160
543.644368,0.0,507551744,25668423680
543.6602657,0.0,507555840,25668349952
543.6758374,0.0,507555840,25668329472
543.6917988,0.0,507555840,25668415488
543.7078207,0.0,507555840,25668755456
543.723883,0.0,507555840,25669767168
543.7400591,0.0,507555840,25669554176
543.7561979,0.0,507555840,25669234688
543.7713641,97.7,507559936,25668706304
543.7873284,104.2,507559936,25666609152
543.8043511,0.0,507564032,25665380352
543.8185616,0.0,507564032,25665306624
543.8343333,0.0,507564032,25664704512
543.8535398,0.0,507564032,25663971328
543.8658981,0.0,507564032,25663176704
543.8820603,97.7,507568128,25663258624
543.8978789,0.0,507568128,25663225856
543.9140921,0.0,507568128,25663033344
543.9300969,0.0,507568128,25663016960
543.9463911,0.0,507568128,25663025152
543.9620044,0.0,507568128,25662963712
543.9774371,0.0,507568128,25662935040
543.9943732,0.0,507568128,25662910464
544.0084913,0.0,507568128,25662513152
544.0236841,0.0,507568128,25660526592
544.0395119,0.0,507568128,25657217024
544.0544958,0.0,507568128,25654120448
544.0699869,0.0,507568128,25646010368
544.0850293,0.0,507568128,25643606016
544.1010493,0.0,507568128,25643515904
544.1160854,0.0,507568128,25642840064
544.1320112,0.0,507568128,25642827776
544.1473353,0.0,507568128,25642815488
544.1626705,0.0,507568128,25642811392
544.1789631,0.0,507568128,25642803200
544.1935988,0.0,507568128,25642733568
544.2096348,0.0,507568128,25642696704
544.2255903,0.0,507568128,25642663936
544.2407207,0.0,507568128,25642614784
544.2556386,0.0,507568128,25637351424
544.2712385,0.0,507568128,25637351424
544.2867593,0.0,507568128,25637347328
544.3022835,0.0,507568128,25637330944
544.3182574,0.0,507568128,25637326848
544.3343672,0.0,507568128,25637314560
544.3502175,0.0,507568128,25637285888
544.3657397,0.0,507568128,25637277696
544.3834611,0.0,507568128,25637175296
544.3983973,0.0,507568128,25637199872
544.416802,0.0,507568128,25641558016
544.4300704,0.0,507568128,25641738240
544.4447388,0.0,507568128,25641721856
544.4597709,0.0,507568128,25641701376
544.4752822,0.0,507568128,25641676800
544.491508,0.0,507568128,25641705472
544.507276,0.0,507568128,25641578496
544.5222995,0.0,507568128,25641275392
544.5386083,0.0,507568128,25640673280
544.5533613,0.0,508825600,25638625280
544.5689093,0.0,508825600,25638576128
544.5848364,0.0,508825600,25637715968
544.6008171,0.0,508825600,25638043648
544.616035,0.0,508825600,25637822464
544.6311783,0.0,508825600,25636225024
544.6470582,0.0,508825600,25635766272
544.6624251,0.0,508825600,25626628096
544.6791977,0.0,508825600,25617657856
544.6944744,0.0,508825600,25617498112
544.7115074,0.0,508825600,25620074496
544.7265039,0.0,508825600,25619304448
544.7414133,0.0,508825600,25623056384
544.7564205,0.0,508825600,25623228416
544.7719637,0.0,508825600,25629741056
544.7876307,0.0,508825600,25628704768
544.8020065,0.0,508825600,25628733440
544.81837,0.0,508825600,25624674304
544.8333259,0.0,508825600,25624600576
544.8481331,0.0,508825600,25624584192
