Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
6.568874,0.0,71331840,26136969216
6.5881423,0.0,71331840,26139512832
6.608786,104.2,72003584,26169954304
6.6353173,97.7,72843264,26169888768
6.6511948,0.0,74137600,26170339328
6.6664609,195.3,74452992,26170269696
6.6840851,0.0,74469376,26170957824
6.6975032,0.0,75014144,26170732544
6.713575,0.0,75485184,26169778176
6.7296614,0.0,75792384,26169700352
6.7455502,0.0,75968512,26167885824
6.7615134,0.0,76132352,26167033856
6.7765546,0.0,76132352,26159607808
6.792488,97.7,76410880,26157170688
6.8080639,0.0,77762560,26157965312
6.8240219,0.0,77766656,26157957120
6.8393741,0.0,78147584,26157940736
6.8540292,0.0,78303232,26157920256
6.8700453,0.0,78303232,26157899776
6.8852429,0.0,78680064,26157879296
6.9015275,0.0,78798848,26157871104
6.9161961,0.0,79159296,26157854720
6.9321543,0.0,79327232,26158243840
6.9481605,0.0,79327232,26158211072
6.9632274,0.0,79613952,26159071232
6.978661,0.0,79872000,26159050752
6.9936705,0.0,79880192,26160050176
7.0096667,0.0,80138240,26160041984
7.0246208,0.0,80142336,26160021504
7.0406246,0.0,80306176,26159992832
7.0556654,0.0,80441344,26159968256
7.0706482,0.0,80797696,26161250304
7.0862838,0.0,80834560,26161225728
7.1022605,0.0,80961536,26161197056
7.1185443,0.0,81129472,26161287168
7.1342963,0.0,81129472,26161319936
7.1501651,0.0,81453056,26161700864
7.1652375,0.0,81461248,26161672192
7.182562,0.0,81600512,26163724288
7.1973151,0.0,81600512,26165301248
7.2123052,0.0,81752064,26165288960
7.2273516,0.0,81752064,26165313536
7.2433093,0.0,82055168,26165428224
7.259341,0.0,82055168,26165411840
7.2753145,0.0,82190336,26165395456
7.2907832,0.0,82309120,26165309440
7.3067069,0.0,82440192,26165301248
7.3227647,0.0,82595840,26165219328
7.3387249,0.0,82743296,26165190656
7.3538794,0.0,83152896,26165174272
7.3698529,0.0,83312640,26165514240
7.3854918,0.0,83312640,26165489664
7.4020635,0.0,83468288,26165317632
7.4173906,0.0,83619840,26165379072
7.4337042,0.0,83619840,26165952512
7.4495618,0.0,83763200,26165694464
7.4653406,0.0,83763200,26165665792
7.4814564,104.2,84049920,26165456896
7.4968295,0.0,84226048,26165178368
7.5128703,0.0,84226048,26157477888
7.5278731,0.0,84353024,26145005568
7.5438278,0.0,84353024,26144780288
7.5590868,0.0,84668416,26144768000
7.5751207,0.0,84918272,26144714752
7.5904043,0.0,84922368,26144026624
7.6063802,0.0,85065728,26143199232
7.6247451,0.0,85143552,26151927808
7.6381086,0.0,85311488,26152226816
7.6524657,104.2,85467136,26152275968
7.6674795,97.7,85618688,26152321024
7.6833097,0.0,85925888,26152402944
7.6997338,0.0,86188032,26144325632
7.7149985,0.0,86208512,26142212096
7.7308961,0.0,86331392,26142191616
7.7468927,0.0,86331392,26140205056
7.7631015,97.7,91148288,26128261120
7.7779117,104.2,91287552,26132828160
7.7943852,195.3,91422720,26131910656
7.8084451,0.0,91611136,26140274688
7.8244395,0.0,91615232,26140835840
7.8396706,0.0,91783168,26138873856
7.8554153,0.0,91922432,26138738688
7.8714452,0.0,92016640,26136383488
7.8869458,0.0,92045312,26138542080
7.9035758,0.0,92151808,26138730496
7.9190618,0.0,92151808,26138513408
7.9344174,0.0,92237824,26137341952
7.950042,0.0,92241920,26136518656
7.9659438,0.0,92241920,26136567808
7.9814488,0.0,92282880,26136698880
7.9976092,0.0,92282880,26136600576
8.0134986,0.0,92360704,26136141824
8.0295709,0.0,92409856,26145882112
8.0454427,0.0,92409856,26145484800
8.0604698,0.0,92422144,26146258944
8.076449,0.0,92422144,26146545664
8.0920405,0.0,92422144,26146869248
8.1080523,0.0,92422144,26146840576
8.123954,97.7,92450816,26146816000
8.1408714,0.0,92454912,26141241344
8.1560126,0.0,92467200,26137137152
8.1720032,0.0,92467200,26136727552
8.1875992,0.0,92467200,26136698880
8.2028533,0.0,92557312,26136670208
8.2191056,0.0,92622848,26136662016
8.2351054,0.0,92622848,26136682496
