Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
174.4363189,0.0,473018368,25804861440
174.4530342,0.0,473018368,25804828672
174.4689305,0.0,473268224,25804464128
174.4846393,0.0,473268224,25803386880
174.500451,0.0,473268224,25802907648
174.5157368,0.0,473268224,25802883072
174.5316293,0.0,473276416,25802719232
174.5474259,0.0,473276416,25802694656
174.5627219,0.0,473276416,25802670080
174.5782559,0.0,473276416,25802575872
174.5941895,0.0,473276416,25802006528
174.6089578,0.0,473927680,25801981952
174.6251089,0.0,473927680,25801957376
174.6405873,0.0,474771456,25800794112
174.654971,0.0,476213248,25799766016
174.6712929,97.7,476598272,25799168000
174.6871339,104.2,476794880,25798897664
174.7026325,0.0,477483008,25798164480
174.7185509,97.7,478715904,25795891200
174.7348568,104.2,479977472,25794686976
174.7505527,97.7,481042432,25793748992
174.7665231,97.7,484028416,25790533632
174.7820422,0.0,485363712,25789054976
174.7987642,97.7,486096896,25786593280
174.8133449,0.0,486100992,25784844288
174.8287205,97.7,486473728,25787359232
174.8443731,0.0,486563840,25786966016
174.8590564,0.0,486563840,25786949632
174.8740384,0.0,486567936,25786929152
174.8896941,0.0,486567936,25786900480
174.9055848,0.0,486567936,25786855424
174.9206002,0.0,486567936,25791528960
174.9366236,104.2,486567936,25791508480
174.9527091,0.0,486567936,25791475712
174.967671,0.0,486576128,25791451136
174.9832789,0.0,486576128,25791365120
174.9993014,0.0,486576128,25791332352
175.0152697,0.0,486576128,25791307776
175.0312926,0.0,486580224,25791283200
175.0472961,0.0,486584320,25791258624
175.0625586,0.0,486584320,25790648320
175.0780757,0.0,486584320,25790623744
175.0937141,0.0,486584320,25790631936
175.1095656,0.0,486584320,25790599168
175.1767921,0.0,486588416,25790570496
175.1880957,0.0,486588416,25790562304
175.2031446,0.0,486588416,25790537728
175.218409,0.0,486592512,25790521344
175.2343365,0.0,486592512,25790431232
175.2493442,0.0,486592512,25790402560
175.2654934,0.0,486592512,25790382080
175.2809117,0.0,486596608,25790353408
175.2970275,97.7,486596608,25790193664
175.3121955,0.0,486596608,25790156800
175.328122,0.0,486596608,25790128128
175.3433793,0.0,486596608,25790115840
175.3589763,0.0,486596608,25790115840
175.3740082,0.0,486596608,25790087168
175.3894549,0.0,486596608,25790083072
175.404482,0.0,486596608,25790070784
175.4205488,0.0,486866944,25790038016
175.4364561,0.0,486866944,25790017536
175.4525901,0.0,486866944,25789988864
175.4685487,0.0,486871040,25788567552
175.4843185,0.0,486871040,25789456384
175.4991326,0.0,486871040,25789423616
175.5151328,0.0,486871040,25789386752
175.5311561,0.0,486871040,25789288448
175.5471294,0.0,486871040,25789259776
175.5625828,0.0,486871040,25789231104
175.5779794,0.0,486871040,25789243392
175.5937972,0.0,486928384,25788706816
175.6087,104.2,487395328,25788026880
175.6237965,0.0,488005632,25787744256
175.6387237,97.7,488009728,25787715584
175.6546719,104.2,488022016,25787629568
175.6696883,0.0,488022016,25787555840
175.6852154,0.0,488022016,25787543552
175.70122,0.0,488022016,25787518976
175.7172328,0.0,488022016,25787543552
175.7322982,0.0,488022016,25787531264
175.7483478,97.7,488022016,25787506688
175.764319,97.7,488030208,25787482112
175.7798942,0.0,488038400,25787461632
175.7951998,0.0,488038400,25787445248
175.8111437,0.0,488038400,25787445248
175.826923,0.0,488038400,25787445248
175.842937,0.0,488038400,25787428864
175.8585311,0.0,488038400,25787424768
175.8738026,0.0,488042496,25787424768
175.889177,0.0,488042496,25787424768
175.9049923,0.0,488046592,25787424768
175.9211462,0.0,488046592,25787277312
175.9370184,0.0,488046592,25787265024
175.9530964,0.0,488046592,25787138048
175.9690979,0.0,488046592,25787138048
175.9846599,0.0,488046592,25787138048
176.0006078,0.0,488050688,25787006976
176.0156806,0.0,488050688,25786986496
176.0316406,0.0,488050688,25786892288
176.0477745,0.0,488067072,25786863616
176.0631379,0.0,488067072,25786851328
176.0780437,0.0,488067072,25786499072
176.0941195,0.0,488067072,25786466304
