Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
1447.6886765,0.0,507445248,26190196736
1447.7000074,0.0,507445248,26182369280
1447.7164032,0.0,507445248,26183585792
1447.7325408,0.0,507445248,26176524288
1447.7471459,0.0,507445248,26176540672
1447.7622765,0.0,507445248,26177265664
1447.7781144,0.0,507445248,26177265664
1447.7933331,0.0,507445248,26177265664
1447.8094598,0.0,507445248,26177183744
1447.8241362,0.0,507445248,26177204224
1447.8390356,0.0,507445248,26176831488
1447.854197,0.0,507445248,26176352256
1447.8692251,0.0,507445248,26178060288
1447.8851542,0.0,507445248,26178199552
1447.9012241,0.0,507445248,26177466368
1447.9171435,0.0,507445248,26177380352
1447.9319553,0.0,507445248,26185285632
1447.9472096,0.0,507445248,26187173888
1447.963118,0.0,507445248,26187182080
1447.9784718,0.0,507445248,26187665408
1447.9942958,0.0,507445248,26197737472
1448.009159,0.0,507445248,26196697088
1448.025026,0.0,507445248,26192969728
1448.0401284,0.0,507445248,26188558336
1448.0556021,0.0,507445248,26184208384
1448.0716029,97.7,507445248,26184216576
1448.0875679,0.0,507445248,26187751424
1448.1026622,0.0,507445248,26192150528
1448.1621988,0.0,507445248,26192072704
1448.1803,100.8,507445248,26198708224
1448.1951308,0.0,507445248,26198630400
1448.210347,0.0,507445248,26194546688
1448.2263861,0.0,507445248,26190258176
1448.2421012,0.0,507445248,26190241792
1448.2576576,0.0,507445248,26189615104
1448.2737625,0.0,507445248,26188603392
1448.2886298,0.0,507445248,26188533760
1448.303658,0.0,507445248,26188267520
1448.319743,0.0,507445248,26185580544
1448.3356911,0.0,507445248,26189025280
1448.3517619,0.0,507445248,26182516736
1448.3663814,0.0,507445248,26178256896
1448.3816186,0.0,507445248,26174078976
1448.3973046,0.0,507445248,26173227008
1448.4132966,0.0,507445248,26155597824
1448.4287993,0.0,507445248,26154078208
1448.4440426,0.0,507445248,26153762816
1448.4599434,0.0,507445248,26152669184
1448.4749568,0.0,507445248,26151157760
1448.48995,0.0,507445248,26150264832
1448.5058373,0.0,507445248,26144231424
1448.521886,0.0,507445248,26143956992
1448.5368158,0.0,507445248,26143916032
1448.552706,0.0,507445248,26143506432
1448.5690564,0.0,507445248,26143506432
1448.5845085,48.8,507445248,26162941952
1448.600573,0.0,507445248,26162941952
1448.6164749,97.7,507445248,26162941952
1448.6315016,0.0,507445248,26162941952
1448.6473303,0.0,507445248,26162937856
1448.6622943,0.0,507445248,26162937856
1448.6781871,0.0,507445248,26162937856
1448.6935158,0.0,507445248,26163081216
1448.7091527,0.0,507445248,26161963008
1448.7242046,0.0,507445248,26164035584
1448.740232,0.0,507445248,26150780928
1448.7559011,0.0,507445248,26151063552
1448.771808,0.0,507445248,26151096320
1448.7878482,0.0,507445248,26151096320
1448.8038285,0.0,507445248,26151096320
1448.8200486,0.0,507445248,26151096320
1448.8359545,0.0,507445248,26151743488
1448.8515408,0.0,507445248,26151723008
1448.8675523,0.0,507445248,26151702528
1448.8835316,0.0,507445248,26151682048
1448.8995724,0.0,507445248,26152140800
1448.915556,0.0,507445248,26152128512
1448.9317,0.0,507445248,26152112128
1448.9473245,0.0,507445248,26152275968
1448.9632019,0.0,507445248,26152255488
1448.9782838,0.0,507445248,26152235008
1448.9945426,0.0,507445248,26152210432
1449.010295,0.0,507445248,26152189952
1449.0251879,0.0,507445248,26152169472
1449.0412847,0.0,507445248,26152144896
1449.0567995,104.2,507445248,26152144896
1449.0712336,0.0,507445248,26152255488
1449.0872635,0.0,507445248,26156429312
1449.1022586,0.0,507445248,26156408832
1449.16419,0.0,507445248,26156380160
1449.1809398,104.2,507445248,26156359680
1449.1969451,0.0,507445248,26156326912
1449.2132982,0.0,507445248,26156441600
1449.2289081,0.0,507445248,26156519424
1449.244813,0.0,507445248,26156507136
1449.2597344,0.0,507445248,26156482560
1449.275477,0.0,507445248,26156470272
1449.2914106,0.0,507445248,26156445696
1449.3064553,0.0,507445248,26156412928
1449.3224661,0.0,507445248,26156388352
1449.3385976,0.0,507445248,26156355584
1449.3540035,0.0,507445248,26156285952
1449.3699937,0.0,507445248,26156314624
1449.3859129,0.0,507445248,26156285952
1449.4019167,0.0,507445248,26156261376
1449.4169716,0.0,507445248,26156228608
1449.4319315,0.0,507445248,26156199936
1449.4466148,0.0,507445248,26156171264
1449.4627099,0.0,507445248,26156142592
1449.4788034,0.0,507445248,26156118016
1449.4947288,0.0,507445248,26156089344
1449.5100495,0.0,507445248,26156060672
1449.525655,0.0,507445248,26156036096
1449.5407418,0.0,507445248,26156007424
1449.556201,0.0,507445248,26156027904
1449.5719997,0.0,507445248,26156171264
1449.5877911,0.0,507445248,26156146688
1449.6038302,0.0,507445248,26156134400
