Time,CPU Usage (%),Memory Usage (MB),Free Memory (MB)
358.9981875,0.0,496619520,25731256320
359.0086995,97.7,496635904,25731203072
359.0241094,0.0,496640000,25731051520
359.039004,0.0,496640000,25731006464
359.053636,0.0,496644096,25730990080
359.0696539,0.0,496644096,25730965504
359.0850622,0.0,496693248,25730785280
359.101132,0.0,496697344,25730760704
359.1792548,40.1,496750592,25733316608
359.1925996,0.0,496795648,25733292032
359.207631,97.7,496795648,25733279744
359.2236967,0.0,496803840,25733238784
359.2399024,104.2,496812032,25733218304
359.255658,0.0,496812032,25727328256
359.2721452,97.7,496816128,25727049728
359.2887089,151.2,496832512,25727029248
359.3021425,0.0,496857088,25727012864
359.3171479,0.0,496869376,25730994176
359.3332021,0.0,496869376,25730965504
359.3481866,0.0,496869376,25730940928
359.3641658,0.0,496869376,25730908160
359.3801268,0.0,496869376,25730879488
359.3953386,0.0,496869376,25730850816
359.4112829,0.0,496869376,25730838528
359.4264412,0.0,496869376,25730744320
359.4412623,0.0,496869376,25730732032
359.4572518,0.0,496869376,25730732032
359.4725355,0.0,496869376,25730764800
359.488121,104.2,496869376,25729261568
359.5038508,195.3,497025024,25730633728
359.5188773,97.7,497836032,25730633728
359.5338095,104.2,499470336,25730633728
359.5489363,97.7,499539968,25730629632
359.5642521,0.0,499572736,25730719744
359.5803266,0.0,499572736,25730715648
359.5964137,97.7,499601408,25731141632
359.6124222,104.2,500154368,25731141632
359.6274506,97.7,500461568,25731141632
359.6433283,97.7,500527104,25731059712
359.659354,104.2,500527104,25731035136
359.6753749,97.7,500563968,25731010560
359.6909825,104.2,500563968,25730969600
359.7069279,97.7,500563968,25730945024
359.7229059,97.7,500572160,25730920448
359.7388722,0.0,500588544,25730899968
359.7548785,0.0,500588544,25730887680
359.7698959,0.0,500588544,25730867200
359.785375,0.0,500592640,25730859008
359.8005186,0.0,500629504,25730830336
359.8153861,104.2,500629504,25730838528
359.8303784,97.7,500629504,25731035136
359.8458099,97.7,500629504,25731076096
359.8603838,104.2,500629504,25731014656
359.8759417,97.7,500629504,25730998272
359.89095,97.7,500629504,25730973696
359.9069182,0.0,500666368,25730936832
359.9219193,97.7,500670464,25730916352
359.9371049,0.0,500670464,25730891776
359.9529,0.0,500670464,25730879488
359.9690873,0.0,500670464,25730842624
359.9844786,0.0,500670464,25730818048
360.0007067,0.0,500670464,25730793472
360.0165138,0.0,500670464,25730150400
360.0320761,0.0,500670464,25730936832
360.0476601,0.0,500670464,25730936832
360.0633809,0.0,500670464,25725607936
360.0783798,0.0,500670464,25725480960
360.0940465,0.0,500670464,25720844288
360.1089692,0.0,500670464,25712951296
